TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AccountHolderName,Gender,DOB,Account_Opening_Date,Age,TransactionCount,Status,MerchantType
TX000180,AC00010,34.17,2014-12-31,Credit,"Parbhani , Maharashtra",D000036,177.116.108.246,Online,54,Farmer,54,1,726.55,2024-11-04 08:06:29,Deesh,Male,1957-04-26,2009-05-30,68,,,Crop/Seed seller
TX000202,AC00010,11.18,2015-12-31,Debit,"Buldhana , Maharashtra",D000129,16.51.235.240,Online,43,Farmer,161,1,5956.89,2024-11-04 08:10:20,Sanath,Male,1959-06-07,2009-05-13,66,,,Crop/Seed seller
TX000694,AC00011,733.29,2010-01-01,Debit,"Buldhana , Maharashtra",D000618,16.51.235.240,ATM,52,Farmer,94,5,10427.0,2024-11-04 08:07:12,Bakshi,Female,1956-05-17,2009-02-18,69,,,Crop/Seed seller
TX000735,AC00011,117.55,2011-01-01,Debit,"Hingoli , Maharashtra",D000088,4.101.189.38,ATM,24,Labour,35,1,897.94,2024-11-04 08:11:13,Sulata,Female,1956-02-19,2009-11-11,69,,,Migration Help
TX001015,AC00011,688.36,2012-01-01,Credit,"Washim , Maharashtra",D000235,200.136.146.93,Branch,23,Labour,22,1,5191.13,2024-11-04 08:11:05,Dean,Male,1960-06-16,2009-08-17,65,,,Migration Help
TX000098,AC00011,25.36,2012-12-31,Debit,"Dhule , Maharashtra",D000192,62.152.134.92,ATM,57,Labour,78,1,201.04,2024-11-04 08:11:05,Meshree,Female,1954-09-01,2009-05-12,70,,,Migration Help
TX000045,AC00011,304.31,2013-12-31,Debit,"Hingoli , Maharashtra",D000685,77.208.193.198,Branch,27,Farmer,33,1,868.61,2024-11-04 08:09:53,Laangi,Female,2003-06-18,2009-05-04,22,,,Crop/Seed seller
TX002023,AC00011,537.86,2014-12-31,Debit,"Nandurbar , Maharashtra",D000159,144.228.168.6,Online,27,Labour,134,1,293.06,2024-11-04 08:09:27,Lanita,Female,1965-06-07,2009-08-12,60,,,Migration Help
TX001560,AC00011,31.53,2015-12-31,Debit,"Washim , Maharashtra",D000328,37.143.57.20,Online,25,Labour,283,1,874.93,2024-11-04 08:06:33,Banita,Female,1971-07-15,2009-07-30,54,,,Migration Help
TX002047,AC00012,94.82,2010-01-01,Credit,"Buldhana , Maharashtra",D000123,175.230.206.232,Branch,67,Retired,56,1,1267.72,2024-11-04 08:12:17,Majit,Male,1986-05-27,2009-11-01,39,,,Kirana
TX000513,AC00012,8.65,2011-01-01,Debit,"Washim , Maharashtra",D000309,200.136.146.93,Online,48,Farmer,273,1,10778.35,2024-11-04 08:09:03,Sajit,Male,1974-09-02,2009-11-18,50,,,Crop/Seed seller
TX001153,AC00012,590.57,2012-01-01,Debit,"Dhule , Maharashtra",D000540,150.231.20.169,ATM,79,Retired,93,1,3224.6,2024-11-04 08:07:19,Moesha,Female,1980-04-14,2009-08-23,45,,,Kirana
TX000728,AC00012,137.49,2012-12-31,Debit,"Wardha , Maharashtra",D000159,42.61.10.112,ATM,34,Labour,50,1,4471.05,2024-11-04 08:07:04,Viesh,Male,1952-06-07,2009-10-03,73,,,Migration Help
TX002152,AC00012,927.45,2013-12-31,Debit,"Parbhani , Maharashtra",D000210,176.96.83.253,ATM,24,Farmer,95,1,1161.84,2024-11-04 08:07:13,Adpal,Male,1975-01-22,2009-06-20,50,,,Crop/Seed seller
TX001510,AC00012,308.8,2014-12-31,Debit,"Nandurbar , Maharashtra",D000256,65.164.3.100,ATM,53,Farmer,41,1,3966.54,2024-11-04 08:09:59,Viangi,Female,1943-05-12,2009-08-05,82,,,Crop/Seed seller
TX000576,AC00013,33.46,2010-01-01,Debit,"Buldhana , Maharashtra",D000617,189.248.139.91,ATM,72,Retired,111,1,3641.07,2024-11-04 08:09:12,Lanath,Male,1947-05-05,2009-11-27,78,,,Kirana
TX001291,AC00013,427.69,2011-01-01,Debit,"Yavatmal, Maharashtra",D000347,24.148.92.177,ATM,43,Farmer,236,1,2443.54,2024-11-04 08:11:53,Bapriya,Female,1973-01-22,2009-05-25,52,,,Crop/Seed seller
TX001010,AC00013,75.04,2012-01-01,Debit,"Wardha , Maharashtra",D000037,52.1.78.30,ATM,49,Farmer,178,1,9648.6,2024-11-04 08:07:28,Viika,Female,2004-10-15,2009-03-10,20,,,Crop/Seed seller
TX002156,AC00013,172.92,2012-12-31,Debit,"Gadchiroli , Maharashtra",D000519,214.67.148.245,Online,20,Farmer,212,1,416.37,2024-11-04 08:08:14,Laika,Female,1968-12-14,2009-07-25,56,,,Crop/Seed seller
TX000107,AC00013,114.98,2013-12-31,Debit,"Parbhani , Maharashtra",D000182,115.218.48.83,Online,59,Farmer,80,1,6144.68,2024-11-04 08:09:24,Lakshi,Female,1964-10-18,2009-03-15,60,,,Crop/Seed seller
TX001980,AC00013,422.81,2014-12-31,Debit,"Gadchiroli , Maharashtra",D000050,77.92.193.22,Branch,28,Labour,193,1,1929.28,2024-11-04 08:10:28,Adpal,Male,1963-01-01,2009-04-06,62,,,Migration Help
TX000780,AC00013,138.11,2015-12-31,Credit,"Nandurbar , Maharashtra",D000227,20.147.6.179,Online,68,Retired,104,1,4177.65,2024-11-04 08:07:04,Deveer,Male,1945-03-07,2009-01-30,80,,,Kirana
TX000578,AC00013,246.27,2016-12-30,Debit,"Yavatmal, Maharashtra",D000102,144.91.150.133,Online,29,Farmer,141,1,7299.86,2024-11-04 08:10:57,Menita,Female,1973-03-25,2009-10-06,52,,,Crop/Seed seller
TX002447,AC00014,719.76,2010-01-01,Debit,"Dhule , Maharashtra",D000548,161.25.82.11,Branch,19,Labour,190,1,690.52,2024-11-04 08:11:25,Deram,Male,1967-03-17,2009-09-11,58,,,Migration Help
TX000375,AC00014,643.22,2011-01-01,Debit,"Gadchiroli , Maharashtra",D000248,175.166.115.182,ATM,64,Retired,93,1,1035.86,2024-11-04 08:07:46,Roveer,Male,1990-05-13,2009-06-27,35,,,Kirana
TX001234,AC00014,605.42,2012-01-01,Debit,"Melghat , Maharashtra",D000488,25.188.196.47,ATM,21,Farmer,33,1,392.34,2024-11-04 08:09:40,Molata,Female,1980-07-14,2009-01-10,45,,,Crop/Seed seller
TX000520,AC00014,121.91,2012-12-31,Debit,"Washim , Maharashtra",D000264,135.29.211.116,Branch,60,Labour,133,1,14510.8,2024-11-04 08:08:59,Mevani,Female,1942-12-04,2009-04-22,82,,,Migration Help
TX000080,AC00014,174.25,2013-12-31,Debit,"Buldhana , Maharashtra",D000375,130.92.201.49,Online,50,Labour,67,1,10528.34,2024-11-04 08:10:29,Baika,Female,1968-05-03,2009-10-19,57,,,Migration Help
TX000657,AC00014,427.0,2014-12-31,Credit,"Melghat , Maharashtra",D000629,183.39.94.209,Branch,49,Labour,163,1,8253.65,2024-11-04 08:07:30,Adnath,Male,1970-10-19,2009-08-07,54,,,Migration Help
TX000022,AC00014,85.77,2015-12-31,Debit,"Gadchiroli , Maharashtra",D000268,59.132.247.252,Branch,38,Labour,93,1,9146.19,2024-11-04 08:08:13,Depal,Male,1945-11-11,2009-04-20,79,,,Migration Help
TX002124,AC00014,10.3,2016-12-30,Debit,"Hingoli , Maharashtra",D000494,150.231.20.169,ATM,47,Farmer,197,1,7801.32,2024-11-04 08:10:12,Rapal,Male,1968-04-15,2009-01-25,57,,,Crop/Seed seller
TX000740,AC00014,346.65,2017-12-30,Debit,"Buldhana , Maharashtra",D000077,43.98.242.106,Online,30,Farmer,60,1,6356.96,2024-11-04 08:06:58,Memita,Female,1957-01-15,2009-07-06,68,,,Crop/Seed seller
TX001456,AC00015,774.48,2010-01-01,Debit,"Dhule , Maharashtra",D000233,76.136.92.235,Branch,61,Retired,31,1,11613.58,2024-11-04 08:08:33,Bakshi,Female,1987-08-13,2009-09-23,37,,,Kirana
TX001467,AC00015,73.35,2011-01-01,Debit,"Melghat , Maharashtra",D000340,9.230.41.239,Branch,24,Labour,47,1,1181.84,2024-11-04 08:09:57,Moraj,Male,1969-04-14,2009-04-29,56,,,Migration Help
TX001620,AC00015,50.9,2012-01-01,Credit,"Melghat , Maharashtra",D000549,131.41.45.13,Online,28,Labour,150,1,1277.7,2024-11-04 08:06:36,Movani,Female,1948-05-02,2009-03-23,77,,,Migration Help
TX001562,AC00015,250.01,2012-12-31,Debit,"Gadchiroli , Maharashtra",D000191,157.47.114.20,ATM,62,Retired,88,1,1541.48,2024-11-04 08:12:10,Vikshi,Female,1987-02-02,2009-08-31,38,,,Kirana
TX001181,AC00016,50.0,2010-01-01,Credit,"Washim , Maharashtra",D000309,150.231.20.169,ATM,53,Farmer,87,1,185.87,2024-11-04 08:11:22,Lanita,Female,1961-03-24,2009-10-01,64,,,Crop/Seed seller
TX002335,AC00016,1105.88,2011-01-01,Debit,"Yavatmal, Maharashtra",D000159,41.82.55.163,ATM,34,Farmer,36,1,2636.32,2024-11-04 08:11:22,Kamita,Female,1982-10-07,2009-10-04,42,,,Crop/Seed seller
TX001135,AC00016,26.27,2012-01-01,Credit,"Washim , Maharashtra",D000332,62.27.235.199,Online,45,Labour,177,1,8853.93,2024-11-04 08:10:21,Suvani,Female,1961-06-09,2009-10-09,64,,,Migration Help
TX001592,AC00016,314.52,2012-12-31,Debit,"Washim , Maharashtra",D000361,146.69.70.214,ATM,80,Retired,229,1,7071.32,2024-11-04 08:06:44,Melata,Female,1961-08-18,2009-06-19,63,,,Kirana
TX001969,AC00016,705.34,2013-12-31,Debit,"Hingoli , Maharashtra",D000562,63.67.150.226,Online,59,Farmer,124,1,5003.22,2024-11-04 08:12:18,Lakar,Male,1954-12-26,2009-01-25,70,,,Crop/Seed seller
TX001542,AC00016,69.96,2014-12-31,Debit,"Parbhani , Maharashtra",D000397,184.146.10.88,Branch,28,Farmer,31,1,164.12,2024-11-04 08:08:13,Kalata,Female,1968-06-26,2009-10-03,57,,,Crop/Seed seller
TX001864,AC00017,103.48,2010-01-01,Debit,"Nandurbar , Maharashtra",D000640,1.98.25.114,ATM,32,Labour,33,1,6494.25,2024-11-04 08:09:34,Ladeep,Male,1964-11-09,2009-07-11,60,,,Migration Help
TX000952,AC00017,492.84,2011-01-01,Debit,"Buldhana , Maharashtra",D000514,81.248.235.147,ATM,25,Labour,38,1,577.67,2024-11-04 08:09:23,Laveer,Male,1971-07-24,2009-04-20,53,,,Migration Help
TX001670,AC00017,261.63,2012-01-01,Debit,"Yavatmal, Maharashtra",D000622,77.7.223.184,Branch,20,Labour,150,1,477.03,2024-11-04 08:09:33,Raraj,Male,1977-08-23,2009-06-06,47,,,Migration Help
TX000971,AC00017,215.39,2012-12-31,Debit,"Gadchiroli , Maharashtra",D000409,196.121.240.10,ATM,27,Farmer,216,1,1582.55,2024-11-04 08:11:13,Bapriya,Female,1947-09-25,2009-10-07,77,,,Crop/Seed seller
TX001337,AC00017,60.11,2013-12-31,Credit,"Parbhani , Maharashtra",D000636,8.243.4.138,Branch,61,Retired,122,1,7235.87,2024-11-04 08:08:09,Adesh,Male,1954-02-28,2009-03-10,71,,,Kirana
TX001498,AC00018,1228.81,2010-01-01,Debit,"Nandurbar , Maharashtra",D000381,63.191.171.41,ATM,26,Labour,254,1,1821.0,2024-11-04 08:09:05,Anika,Female,2006-05-12,2009-10-24,19,,,Migration Help
TX001802,AC00018,331.32,2011-01-01,Debit,"Wardha , Maharashtra",D000334,200.164.13.160,Branch,61,Retired,137,5,13054.54,2024-11-04 08:07:35,Kakshi,Female,1971-06-23,2009-06-20,54,,,Kirana
TX000102,AC00018,98.54,2012-01-01,Credit,"Washim , Maharashtra",D000528,34.125.226.63,Online,20,Farmer,167,1,9383.43,2024-11-04 08:10:02,Kavani,Female,1991-11-07,2009-06-29,33,,,Crop/Seed seller
TX002086,AC00019,291.46,2010-01-01,Debit,"Nandurbar , Maharashtra",D000665,149.84.108.18,ATM,57,Labour,135,1,7142.53,2024-11-04 08:10:03,Deraj,Male,1990-07-15,2009-05-23,35,,,Migration Help
TX001683,AC00019,41.13,2011-01-01,Credit,"Gadchiroli , Maharashtra",D000655,109.42.41.157,Branch,77,Retired,58,1,6067.54,2024-11-04 08:10:03,Anangi,Female,1985-06-03,2009-07-15,40,,,Kirana
TX002414,AC00019,489.31,2012-01-01,Debit,"Parbhani , Maharashtra",D000293,156.235.3.171,Branch,43,Labour,36,1,5595.22,2024-11-04 08:12:22,Raraj,Male,1992-11-26,2009-01-03,32,,,Migration Help
TX000003,AC00019,126.29,2012-12-31,Debit,"Yavatmal, Maharashtra",D000235,215.97.143.157,Online,19,Labour,56,1,1122.35,2024-11-04 08:07:04,Diangi,Female,2004-10-22,2009-04-14,20,,,Migration Help
TX001326,AC00020,359.65,2010-01-01,Credit,"Wardha , Maharashtra",D000133,45.64.74.86,Online,25,Labour,289,1,219.53,2024-11-04 08:09:04,Rashree,Female,1986-08-20,2009-05-07,38,,,Migration Help
TX001830,AC00020,91.77,2011-01-01,Debit,"Buldhana , Maharashtra",D000504,93.160.83.196,Branch,51,Farmer,174,1,9240.73,2024-11-04 08:07:12,Viesha,Female,1966-02-11,2009-11-13,59,,,Crop/Seed seller
TX000404,AC00020,353.82,2012-01-01,Debit,"Hingoli , Maharashtra",D000043,72.128.135.172,ATM,42,Labour,143,1,705.75,2024-11-04 08:06:40,Vinath,Male,1976-02-02,2009-10-19,49,,,Migration Help
TX002028,AC00020,28.52,2012-12-31,Debit,"Wardha , Maharashtra",D000700,40.10.25.102,ATM,20,Labour,163,1,662.51,2024-11-04 08:08:28,Dean,Male,1969-05-27,2009-04-28,56,,,Migration Help
TX000206,AC00020,288.04,2013-12-31,Debit,"Buldhana , Maharashtra",D000582,205.69.66.135,ATM,68,Retired,63,1,1748.02,2024-11-04 08:10:00,Vikar,Male,1989-05-06,2009-03-09,36,,,Kirana
TX001259,AC00020,603.23,2014-12-31,Debit,"Parbhani , Maharashtra",D000238,38.210.156.148,Branch,28,Farmer,48,1,117.98,2024-11-04 08:08:18,Roesh,Male,1971-05-27,2009-08-11,54,,,Crop/Seed seller
TX001715,AC00020,589.64,2015-12-31,Debit,"Hingoli , Maharashtra",D000443,187.52.200.18,Online,62,Retired,210,1,2039.4,2024-11-04 08:11:53,Banita,Female,1956-04-14,2009-10-05,69,,,Kirana
TX002170,AC00020,592.24,2016-12-30,Debit,"Parbhani , Maharashtra",D000201,159.37.30.154,ATM,52,Farmer,140,1,9817.05,2024-11-04 08:07:20,Raesha,Female,1951-08-18,2009-03-11,73,,,Crop/Seed seller
TX001139,AC00020,881.1,2017-12-30,Debit,"Gadchiroli , Maharashtra",D000309,87.50.72.69,Branch,28,Labour,16,1,9951.68,2024-11-04 08:08:10,Raesha,Female,1940-02-21,2009-03-12,85,,,Migration Help
TX001821,AC00021,263.59,2010-01-01,Debit,"Melghat , Maharashtra",D000333,150.25.200.56,Branch,71,Retired,16,1,6996.35,2024-11-04 08:12:00,Vilata,Female,1974-07-22,2009-05-25,50,,,Kirana
TX002112,AC00021,762.74,2011-01-01,Debit,"Washim , Maharashtra",D000196,8.136.178.116,ATM,64,Retired,244,1,207.1,2024-11-04 08:06:39,Vilata,Female,1986-09-14,2009-08-29,38,,,Kirana
TX002126,AC00021,416.55,2012-01-01,Debit,"Nandurbar , Maharashtra",D000430,188.205.152.176,Online,33,Labour,73,1,922.96,2024-11-04 08:07:20,Melata,Female,1996-08-28,2009-07-17,28,,,Migration Help
TX000382,AC00021,180.24,2012-12-31,Debit,"Parbhani , Maharashtra",D000106,169.67.220.37,Branch,58,Farmer,144,1,8431.23,2024-11-04 08:09:17,Shraj,Male,1993-04-07,2009-10-01,32,,,Crop/Seed seller
TX001998,AC00021,1142.83,2013-12-31,Credit,"Wardha , Maharashtra",D000493,219.98.242.240,Branch,61,Retired,48,1,2467.39,2024-11-04 08:11:26,Saram,Male,1991-02-20,2009-11-14,34,,,Kirana
TX000459,AC00021,275.92,2014-12-31,Credit,"Buldhana , Maharashtra",D000315,112.196.12.19,Branch,62,Retired,107,1,1777.38,2024-11-04 08:07:39,Sukshi,Female,2002-10-05,2009-08-15,22,,,Kirana
TX001776,AC00021,486.61,2015-12-31,Credit,"Wardha , Maharashtra",D000334,152.140.239.181,ATM,48,Labour,130,1,2006.69,2024-11-04 08:06:34,Anmita,Female,1973-11-27,2009-10-05,51,,,Migration Help
TX002149,AC00021,734.86,2016-12-30,Credit,"Washim , Maharashtra",D000198,134.140.85.231,Branch,48,Labour,290,1,6242.03,2024-11-04 08:08:49,Ranath,Male,1954-05-09,2009-06-09,71,,,Migration Help
TX000078,AC00022,91.53,2010-01-01,Debit,"Parbhani , Maharashtra",D000363,94.37.250.128,Branch,44,Labour,69,1,14676.05,2024-11-04 08:11:36,Ropal,Male,1965-07-19,2009-01-04,59,,,Migration Help
TX001771,AC00022,1.82,2011-01-01,Debit,"Melghat , Maharashtra",D000652,146.250.144.172,Online,80,Retired,60,1,5571.39,2024-11-04 08:09:18,Baika,Female,1982-05-20,2009-11-05,43,,,Kirana
TX000584,AC00022,514.33,2012-01-01,Debit,"Nandurbar , Maharashtra",D000478,218.54.207.160,Branch,25,Labour,160,1,1592.94,2024-11-04 08:12:17,Viram,Male,1951-05-13,2009-04-22,74,,,Migration Help
TX001053,AC00022,168.0,2012-12-31,Credit,"Nandurbar , Maharashtra",D000669,72.128.135.172,Branch,32,Farmer,11,1,3498.58,2024-11-04 08:12:20,Bavani,Female,1998-09-23,2009-07-04,26,,,Crop/Seed seller
TX001358,AC00023,422.9,2010-01-01,Debit,"Hingoli , Maharashtra",D000237,180.224.54.115,ATM,40,Farmer,111,1,7616.43,2024-11-04 08:10:52,Dipriya,Female,2004-01-24,2009-07-31,21,,,Crop/Seed seller
TX000670,AC00023,126.22,2011-01-01,Debit,"Buldhana , Maharashtra",D000094,9.230.41.239,ATM,46,Labour,77,4,6133.41,2024-11-04 08:07:41,Dipriya,Female,1957-02-27,2009-08-30,68,,,Migration Help
TX001959,AC00023,59.73,2012-01-01,Debit,"Nandurbar , Maharashtra",D000681,186.57.149.225,ATM,27,Labour,56,1,800.93,2024-11-04 08:10:10,Sulata,Female,1997-11-19,2009-01-10,27,,,Migration Help
TX001719,AC00023,191.89,2012-12-31,Debit,"Buldhana , Maharashtra",D000004,42.3.3.101,Branch,25,Farmer,14,1,399.57,2024-11-04 08:09:55,Mekshi,Female,1963-08-14,2009-09-10,61,,,Crop/Seed seller
